DateTime,#Site,SamplingHeight,InstrumentId,co2
2017-06-07 06:00:00,SVB,150,464,406.17199999999997
2017-06-07 07:00:00,SVB,150,464,404.80699999999996
2017-06-07 08:00:00,SVB,150,464,404.718
2017-06-07 09:00:00,SVB,150,464,405.44599999999997
2017-06-07 10:00:00,SVB,150,464,406.32599999999996
2017-06-07 11:00:00,SVB,150,464,406.86699999999996
2017-06-07 12:00:00,SVB,150,464,407.046
2017-06-07 13:00:00,SVB,150,464,406.996
2017-06-07 14:00:00,SVB,150,464,407.077
2017-06-07 15:00:00,SVB,150,464,406.423
2017-06-07 16:00:00,SVB,150,464,405.98800000000006
2017-06-07 17:00:00,SVB,150,464,406.82300000000004
2017-06-07 18:00:00,SVB,150,464,407.88300000000004
2017-06-07 19:00:00,SVB,150,464,408.23400000000004
2017-06-07 20:00:00,SVB,150,464,408.57199999999995
2017-06-07 21:00:00,SVB,150,464,408.36300000000006
2017-06-07 22:00:00,SVB,150,464,408.338
2017-06-07 23:00:00,SVB,150,464,409.52
2017-06-08 00:00:00,SVB,150,464,409.86699999999996
2017-06-08 01:00:00,SVB,150,464,409.75199999999995
2017-06-08 02:00:00,SVB,150,464,409.05800000000005
2017-06-08 03:00:00,SVB,150,464,409.055
2017-06-08 04:00:00,SVB,150,464,410.587
2017-06-08 05:00:00,SVB,150,464,408.75199999999995
2017-06-08 06:00:00,SVB,150,464,407.17400000000004
2017-06-08 07:00:00,SVB,150,464,406.783
2017-06-08 08:00:00,SVB,150,464,406.80800000000005
2017-06-08 09:00:00,SVB,150,464,407.199
2017-06-08 10:00:00,SVB,150,464,407.55800000000005
2017-06-08 11:00:00,SVB,150,464,407.548
2017-06-08 12:00:00,SVB,150,464,406.82099999999997
2017-06-08 13:00:00,SVB,150,464,402.12800000000004
2017-06-08 14:00:00,SVB,150,464,401.58
2017-06-08 15:00:00,SVB,150,464,402.158
2017-06-08 16:00:00,SVB,150,464,402.659
2017-06-08 17:00:00,SVB,150,464,403.305
2017-06-08 18:00:00,SVB,150,464,404.139
2017-06-08 19:00:00,SVB,150,464,404.106
2017-06-08 20:00:00,SVB,150,464,403.966
2017-06-08 21:00:00,SVB,150,464,404.144
2017-06-08 22:00:00,SVB,150,464,404.856
2017-06-08 23:00:00,SVB,150,464,406.017
2017-06-09 00:00:00,SVB,150,464,404.749
2017-06-09 01:00:00,SVB,150,464,404.27
2017-06-09 02:00:00,SVB,150,464,404.29900000000004
2017-06-09 03:00:00,SVB,150,464,405.26
2017-06-09 04:00:00,SVB,150,464,410.468
2017-06-09 05:00:00,SVB,150,464,411.50699999999995
2017-06-09 06:00:00,SVB,150,464,413.91
2017-06-09 07:00:00,SVB,150,464,410.1
2017-06-09 08:00:00,SVB,150,464,407.69
2017-06-09 09:00:00,SVB,150,464,406.45599999999996
2017-06-09 10:00:00,SVB,150,464,404.905
2017-06-09 11:00:00,SVB,150,464,403.789
2017-06-09 12:00:00,SVB,150,464,403.36199999999997
2017-06-09 13:00:00,SVB,150,464,403.347
2017-06-09 14:00:00,SVB,150,464,403.671
2017-06-09 15:00:00,SVB,150,464,403.945
2017-06-09 16:00:00,SVB,150,464,404.399
2017-06-09 17:00:00,SVB,150,464,405.097
2017-06-09 18:00:00,SVB,150,464,405.245
2017-06-09 19:00:00,SVB,150,464,405.455
2017-06-09 20:00:00,SVB,150,464,406.221
2017-06-09 21:00:00,SVB,150,464,406.31800000000004
2017-06-09 22:00:00,SVB,150,464,406.916
2017-06-09 23:00:00,SVB,150,464,407.277
2017-06-10 00:00:00,SVB,150,464,407.806
2017-06-10 01:00:00,SVB,150,464,408.251
2017-06-10 02:00:00,SVB,150,464,408.15
2017-06-10 03:00:00,SVB,150,464,408.376
2017-06-10 04:00:00,SVB,150,464,408.215
2017-06-10 05:00:00,SVB,150,464,407.731
2017-06-10 06:00:00,SVB,150,464,407.475
2017-06-10 07:00:00,SVB,150,464,407.314
2017-06-10 08:00:00,SVB,150,464,407.152
2017-06-10 09:00:00,SVB,150,464,406.77
2017-06-10 10:00:00,SVB,150,464,406.158
2017-06-10 11:00:00,SVB,150,464,405.509
2017-06-10 12:00:00,SVB,150,464,405.36800000000005
2017-06-10 13:00:00,SVB,150,464,404.824
2017-06-10 14:00:00,SVB,150,464,404.074
2017-06-10 15:00:00,SVB,150,464,403.10699999999997
2017-06-10 16:00:00,SVB,150,464,403.191
2017-06-10 17:00:00,SVB,150,464,402.791
2017-06-10 18:00:00,SVB,150,464,401.82800000000003
2017-06-10 19:00:00,SVB,150,464,399.78
2017-06-10 20:00:00,SVB,150,464,399.23400000000004
2017-06-10 21:00:00,SVB,150,464,401.76
2017-06-10 22:00:00,SVB,150,464,404.18699999999995
2017-06-10 23:00:00,SVB,150,464,407.36800000000005
2017-06-11 00:00:00,SVB,150,464,409.001
2017-06-11 01:00:00,SVB,150,464,411.027
2017-06-11 02:00:00,SVB,150,464,411.741
2017-06-11 03:00:00,SVB,150,464,411.097
2017-06-11 04:00:00,SVB,150,464,407.82800000000003
2017-06-11 05:00:00,SVB,150,464,412.034
2017-06-11 06:00:00,SVB,150,464,411.972
2017-06-11 07:00:00,SVB,150,464,407.69
2017-06-11 08:00:00,SVB,150,464,403.34
2017-06-11 09:00:00,SVB,150,464,401.844
2017-06-11 10:00:00,SVB,150,464,398.345
2017-06-11 11:00:00,SVB,150,464,397.31
2017-06-11 12:00:00,SVB,150,464,397.841
2017-06-11 13:00:00,SVB,150,464,398.496
2017-06-11 14:00:00,SVB,150,464,399.017
2017-06-11 15:00:00,SVB,150,464,400.256
2017-06-11 16:00:00,SVB,150,464,400.07800000000003
2017-06-11 17:00:00,SVB,150,464,399.1
2017-06-11 18:00:00,SVB,150,464,398.418
2017-06-11 19:00:00,SVB,150,464,399.454
2017-06-11 20:00:00,SVB,150,464,401.591
2017-06-11 21:00:00,SVB,150,464,403.17400000000004
2017-06-11 22:00:00,SVB,150,464,404.42800000000005
2017-06-11 23:00:00,SVB,150,464,406.093
2017-06-12 00:00:00,SVB,150,464,406.95
2017-06-12 01:00:00,SVB,150,464,407.11699999999996
2017-06-12 02:00:00,SVB,150,464,408.037
2017-06-12 03:00:00,SVB,150,464,406.582
2017-06-12 04:00:00,SVB,150,464,406.733
2017-06-12 05:00:00,SVB,150,464,405.30300000000005
2017-06-12 06:00:00,SVB,150,464,404.389
2017-06-12 07:00:00,SVB,150,464,403.652
2017-06-12 08:00:00,SVB,150,464,403.909
2017-06-12 09:00:00,SVB,150,464,403.82
2017-06-12 10:00:00,SVB,150,464,403.798
2017-06-12 11:00:00,SVB,150,464,403.69599999999997
2017-06-12 12:00:00,SVB,150,464,404.094
2017-06-12 13:00:00,SVB,150,464,406.18199999999996
2017-06-12 14:00:00,SVB,150,464,406.49199999999996
2017-06-12 15:00:00,SVB,150,464,406.85900000000004
2017-06-12 16:00:00,SVB,150,464,405.267
2017-06-12 17:00:00,SVB,150,464,404.644
2017-06-12 18:00:00,SVB,150,464,404.665
2017-06-12 19:00:00,SVB,150,464,405.103
2017-06-12 20:00:00,SVB,150,464,405.30300000000005
2017-06-12 21:00:00,SVB,150,464,405.18199999999996
2017-06-12 22:00:00,SVB,150,464,405.75699999999995
2017-06-12 23:00:00,SVB,150,464,406.69199999999995
2017-06-13 00:00:00,SVB,150,464,407.399
2017-06-13 01:00:00,SVB,150,464,407.685
2017-06-13 02:00:00,SVB,150,464,407.50300000000004
2017-06-13 03:00:00,SVB,150,464,407.70099999999996
2017-06-13 04:00:00,SVB,150,464,407.38699999999994
2017-06-13 05:00:00,SVB,150,464,406.91900000000004
