 CO emission in mixing ratio change/s month:           1
  3.620839508067693E-013  5.232176658915381E-014  9.297592692430488E-015
  9.297592692430490E-015  9.297592692430518E-015  9.297592692430507E-015
  9.297592692430463E-015  3.070427796678473E-014  8.451005370990633E-015
  8.020025189388418E-013  6.548266082686761E-013  2.658412553353010E-013
  6.605654318560947E-013  3.595566276173984E-013  3.275055694408585E-014
  8.723734709753005E-015  1.875606313886969E-013  6.432363450943768E-014
  2.455928959489322E-013  7.035639705366950E-013  1.735430012687589E-014
  1.242927911932750E-013  8.723734709752963E-015  1.468385153922688E-014
  8.723734709753017E-015  8.723734709752974E-015  8.723734709753004E-015
  8.723734709753023E-015  8.723734709752976E-015  1.682910839786671E-014
  8.723734709752971E-015  8.723734709752979E-015  8.723734709753001E-015
  8.723734709752993E-015  4.403518750005362E-014  3.188937957944776E-013
