index	date	time	Signal_raw_Z	Signal_ref_Z	Runtime_Z
34	18.03.2018	01:00:18	22262.00	11966.00	1126001.00
34	18.03.2018	01:00:28	22259.00	11965.00	1126011.00
34	18.03.2018	01:00:38	22261.00	11966.00	1126021.00
34	18.03.2018	01:00:48	22261.00	11965.00	1126031.00
34	18.03.2018	01:00:58	22260.00	11965.00	1126041.00
34	18.03.2018	01:01:08	22260.00	11965.00	1126051.00
34	18.03.2018	01:01:18	22262.00	11966.00	1126061.00
34	18.03.2018	01:01:28	22261.00	11965.00	1126071.00
35	18.03.2018	09:32:08	22262.00	11966.00	1156711.00
35	18.03.2018	09:32:18	22261.00	11966.00	1156721.00
35	18.03.2018	09:32:28	22262.00	11966.00	1156731.00
35	18.03.2018	09:32:38	22262.00	11967.00	1156741.00
35	18.03.2018	09:32:48	22263.00	11967.00	1156751.00
35	18.03.2018	09:32:58	22263.00	11967.00	1156761.00
35	18.03.2018	09:33:08	22262.00	11966.00	1156771.00
35	18.03.2018	09:33:18	22263.00	11967.00	1156781.00
35	18.03.2018	09:33:28	22262.00	11967.00	1156791.00
36	18.03.2018	18:04:08	22262.00	11966.00	1187431.00
36	18.03.2018	18:04:18	22263.00	11967.00	1187441.00
36	18.03.2018	18:04:28	22263.00	11966.00	1187451.00
36	18.03.2018	18:04:38	22264.00	11967.00	1187461.00
36	18.03.2018	18:04:48	22263.00	11967.00	1187471.00
36	18.03.2018	18:04:58	22263.00	11967.00	1187481.00
36	18.03.2018	18:05:08	22264.00	11967.00	1187491.00
36	18.03.2018	18:05:18	22263.00	11967.00	1187501.00
36	18.03.2018	18:05:28	22263.00	11967.00	1187511.00
37	19.03.2018	02:36:08	22264.00	11967.00	1218151.00
37	19.03.2018	02:36:18	22264.00	11967.00	1218161.00
37	19.03.2018	02:36:28	22264.00	11967.00	1218171.00
37	19.03.2018	02:36:38	22264.00	11967.00	1218181.00
37	19.03.2018	02:36:48	22264.00	11967.00	1218191.00
37	19.03.2018	02:36:58	22263.00	11966.00	1218201.00
37	19.03.2018	02:37:08	22263.00	11966.00	1218211.00
37	19.03.2018	02:37:18	22264.00	11967.00	1218221.00
37	19.03.2018	02:37:28	22264.00	11967.00	1218231.00
38	19.03.2018	11:08:08	22264.00	11967.00	1248871.00
38	19.03.2018	11:08:18	22264.00	11967.00	1248881.00
38	19.03.2018	11:08:28	22263.00	11967.00	1248891.00
38	19.03.2018	11:08:38	22263.00	11967.00	1248901.00
38	19.03.2018	11:08:48	22263.00	11967.00	1248911.00
38	19.03.2018	11:08:58	22262.00	11966.00	1248921.00
38	19.03.2018	11:09:08	22263.00	11966.00	1248931.00
38	19.03.2018	11:09:18	22263.00	11967.00	1248941.00
38	19.03.2018	11:09:28	22263.00	11967.00	1248951.00
39	19.03.2018	19:40:08	22267.00	11968.00	1279591.00
39	19.03.2018	19:40:18	22266.00	11968.00	1279601.00
39	19.03.2018	19:40:28	22265.00	11968.00	1279611.00
39	19.03.2018	19:40:38	22265.00	11967.00	1279621.00
39	19.03.2018	19:40:48	22265.00	11967.00	1279631.00
39	19.03.2018	19:40:58	22265.00	11967.00	1279641.00
39	19.03.2018	19:41:08	22264.00	11967.00	1279651.00
39	19.03.2018	19:41:19	22264.00	11967.00	1279661.00
39	19.03.2018	19:41:28	22265.00	11967.00	1279671.00
40	20.03.2018	04:12:08	22272.00	11969.00	1310311.00
40	20.03.2018	04:12:18	22272.00	11969.00	1310321.00
40	20.03.2018	04:12:28	22272.00	11969.00	1310331.00
40	20.03.2018	04:12:38	22272.00	11969.00	1310341.00
40	20.03.2018	04:12:48	22272.00	11969.00	1310351.00
40	20.03.2018	04:12:58	22271.00	11969.00	1310361.00
40	20.03.2018	04:13:08	22272.00	11969.00	1310371.00
40	20.03.2018	04:13:18	22271.00	11968.00	1310381.00
40	20.03.2018	04:13:28	22272.00	11969.00	1310391.00
41	20.03.2018	12:44:08	22271.00	11969.00	1341031.00
41	20.03.2018	12:44:18	22270.00	11969.00	1341041.00
41	20.03.2018	12:44:28	22270.00	11968.00	1341051.00
41	20.03.2018	12:44:38	22271.00	11969.00	1341061.00
41	20.03.2018	12:44:48	22270.00	11968.00	1341071.00
41	20.03.2018	12:44:58	22271.00	11969.00	1341081.00
41	20.03.2018	12:45:08	22270.00	11969.00	1341091.00
41	20.03.2018	12:45:18	22271.00	11969.00	1341101.00
41	20.03.2018	12:45:28	22270.00	11968.00	1341111.00
42	20.03.2018	21:16:08	22273.00	11971.00	1371751.00
42	20.03.2018	21:16:18	22273.00	11970.00	1371761.00
42	20.03.2018	21:16:28	22274.00	11970.00	1371771.00
42	20.03.2018	21:16:38	22274.00	11970.00	1371781.00
42	20.03.2018	21:16:48	22274.00	11970.00	1371791.00
42	20.03.2018	21:16:58	22273.00	11970.00	1371801.00
42	20.03.2018	21:17:08	22272.00	11970.00	1371811.00
42	20.03.2018	21:17:18	22271.00	11969.00	1371821.00
42	20.03.2018	21:17:28	22272.00	11969.00	1371831.00
43	21.03.2018	05:48:08	22274.00	11971.00	1402471.00
43	21.03.2018	05:48:18	22274.00	11971.00	1402481.00
43	21.03.2018	05:48:28	22274.00	11970.00	1402491.00
43	21.03.2018	05:48:38	22275.00	11971.00	1402501.00
43	21.03.2018	05:48:48	22274.00	11970.00	1402511.00
43	21.03.2018	05:48:58	22274.00	11970.00	1402521.00
43	21.03.2018	05:49:08	22271.00	11969.00	1402531.00
43	21.03.2018	05:49:18	22274.00	11970.00	1402541.00
43	21.03.2018	05:49:28	22273.00	11970.00	1402551.00
44	21.03.2018	14:20:08	22272.00	11969.00	1433191.00
44	21.03.2018	14:20:18	22275.00	11971.00	1433201.00
44	21.03.2018	14:20:28	22275.00	11971.00	1433211.00
44	21.03.2018	14:20:38	22274.00	11971.00	1433221.00
44	21.03.2018	14:20:48	22274.00	11970.00	1433231.00
44	21.03.2018	14:20:58	22275.00	11971.00	1433241.00
44	21.03.2018	14:21:09	22276.00	11971.00	1433251.00
44	21.03.2018	14:21:18	22273.00	11969.00	1433261.00
44	21.03.2018	14:21:28	22276.00	11971.00	1433271.00
45	21.03.2018	22:52:08	22274.00	11971.00	1463911.00
45	21.03.2018	22:52:18	22274.00	11971.00	1463921.00
45	21.03.2018	22:52:28	22275.00	11971.00	1463931.00
45	21.03.2018	22:52:38	22274.00	11970.00	1463941.00
45	21.03.2018	22:52:48	22274.00	11971.00	1463951.00
45	21.03.2018	22:52:58	22273.00	11970.00	1463961.00
45	21.03.2018	22:53:08	22274.00	11970.00	1463971.00
45	21.03.2018	22:53:18	22273.00	11970.00	1463981.00
45	21.03.2018	22:53:28	22273.00	11970.00	1463991.00
46	22.03.2018	07:24:08	22277.00	11972.00	1494631.00
46	22.03.2018	07:24:18	22278.00	11973.00	1494641.00
46	22.03.2018	07:24:28	22277.00	11972.00	1494651.00
46	22.03.2018	07:24:38	22276.00	11972.00	1494661.00
46	22.03.2018	07:24:48	22277.00	11972.00	1494671.00
46	22.03.2018	07:24:59	22277.00	11972.00	1494681.00
46	22.03.2018	07:25:08	22277.00	11972.00	1494691.00
46	22.03.2018	07:25:18	22278.00	11972.00	1494701.00
46	22.03.2018	07:25:28	22277.00	11972.00	1494711.00
47	22.03.2018	15:56:08	22274.00	11971.00	1525351.00
47	22.03.2018	15:56:18	22275.00	11971.00	1525361.00
47	22.03.2018	15:56:28	22275.00	11971.00	1525371.00
47	22.03.2018	15:56:38	22276.00	11971.00	1525381.00
47	22.03.2018	15:56:49	22275.00	11970.00	1525391.00
47	22.03.2018	15:56:58	22275.00	11971.00	1525401.00
47	22.03.2018	15:57:08	22275.00	11970.00	1525411.00
47	22.03.2018	15:57:18	22275.00	11970.00	1525421.00
47	22.03.2018	15:57:28	22275.00	11970.00	1525431.00
48	23.03.2018	00:43:07	22276.00	11971.00	1556071.00
48	23.03.2018	00:43:17	22275.00	11971.00	1556081.00
48	23.03.2018	00:43:27	22276.00	11971.00	1556091.00
48	23.03.2018	00:43:37	22278.00	11972.00	1556101.00
48	23.03.2018	00:43:47	22276.00	11971.00	1556111.00
48	23.03.2018	00:43:57	22278.00	11972.00	1556121.00
48	23.03.2018	00:44:07	22277.00	11971.00	1556131.00
48	23.03.2018	00:44:17	22276.00	11971.00	1556141.00
48	23.03.2018	00:44:27	22277.00	11972.00	1556151.00
49	23.03.2018	09:15:07	22277.00	11972.00	1586791.00
49	23.03.2018	09:15:17	22278.00	11972.00	1586801.00
49	23.03.2018	09:15:27	22278.00	11973.00	1586811.00
49	23.03.2018	09:15:37	22279.00	11972.00	1586821.00
49	23.03.2018	09:15:47	22279.00	11973.00	1586831.00
49	23.03.2018	09:15:57	22277.00	11972.00	1586841.00
49	23.03.2018	09:16:07	22278.00	11972.00	1586851.00
49	23.03.2018	09:16:17	22278.00	11972.00	1586861.00
49	23.03.2018	09:16:27	22279.00	11972.00	1586871.00
50	23.03.2018	17:47:07	22277.00	11972.00	1617511.00
50	23.03.2018	17:47:17	22278.00	11971.00	1617521.00
50	23.03.2018	17:47:27	22278.00	11972.00	1617531.00
50	23.03.2018	17:47:37	22278.00	11971.00	1617541.00
50	23.03.2018	17:47:47	22277.00	11971.00	1617551.00
50	23.03.2018	17:47:57	22277.00	11971.00	1617561.00
50	23.03.2018	17:48:07	22276.00	11971.00	1617571.00
50	23.03.2018	17:48:17	22277.00	11972.00	1617581.00
50	23.03.2018	17:48:27	22277.00	11972.00	1617591.00
51	24.03.2018	02:19:07	22280.00	11973.00	1648231.00
51	24.03.2018	02:19:17	22280.00	11973.00	1648241.00
51	24.03.2018	02:19:27	22279.00	11972.00	1648251.00
51	24.03.2018	02:19:37	22279.00	11973.00	1648261.00
51	24.03.2018	02:19:47	22279.00	11973.00	1648271.00
51	24.03.2018	02:19:57	22278.00	11972.00	1648281.00
