 CO emission in mixing ratio change/s month:           1
  9.784782024147877E-015  9.358606392441009E-015  9.681132583369188E-015
  4.582754403298590E-015  9.149564597018548E-015  1.753116252774608E-014
  1.398683702491390E-014  1.238329282787795E-014  1.322811127658347E-014
  1.016915509433596E-014  7.935065008872392E-015  5.805964870638165E-015
  3.134857394559605E-015  4.580453820403983E-015  4.309645847083147E-015
  1.447412866302692E-015  2.044909664686569E-014  1.115120644544212E-014
  4.865718128160029E-015  4.948915093060405E-015  0.000000000000000E+000
  1.730658823261862E-014  2.238958323719004E-014  2.127111081946919E-014
  2.633306864844038E-014  2.289094517832722E-014  2.101096182855928E-014
  1.102822179581019E-014  1.412811820698373E-014  1.851032209429088E-014
  1.514100386024516E-014  1.142252046033184E-014  1.186393841155174E-014
  9.549598359633677E-015  1.146823771073118E-014  4.600298498967354E-015
  8.262309373806610E-015  3.011006145175734E-015  0.000000000000000E+000
  0.000000000000000E+000  1.292475620144982E-015  7.715862189452383E-015
  0.000000000000000E+000  1.091271328383599E-014  4.451407916726150E-014
  2.831133357827419E-014  1.174529902743623E-014  1.576581906108542E-014
  9.805253594850454E-015  1.606830502007603E-014  1.841063336314861E-014
  4.744988559893188E-015  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  2.485677262961532E-014
  3.779674372745046E-014  5.275241045912534E-014  2.644165248570529E-014
  2.600985542230802E-014  2.626708219493268E-014  8.380209182291773E-015
  1.060188509835023E-014  1.277027072874914E-014  1.986486430349847E-014
  3.649230566430081E-015  3.649230566430091E-015  5.871637738745017E-015
  5.538356212421626E-015  6.175804205653678E-015  7.169233614726634E-015
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  2.676845811879115E-014
  2.883576902762302E-014  1.039704983315516E-014  1.676957880405206E-014
  2.883284254140900E-014  4.337850355289107E-014  1.531174592110968E-014
  6.203296865139125E-015  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  2.827500702298289E-014
  2.187094017171761E-014  1.936804911399906E-014  2.777331166096223E-014
  3.437148096298386E-014  4.457099054701970E-014  2.055537848366644E-014
  1.831526959722099E-014  4.305033124063540E-014  1.654220180317570E-014
  9.232403294693151E-016  2.747797692694797E-015  1.479966100601119E-014
  1.565614501374269E-014  2.674837670274960E-014  1.398768336870133E-014
  1.028683345978687E-014  1.028683345978687E-014  1.028683345978683E-014
  1.028683345978679E-014  1.028683345978688E-014  1.028683345978683E-014
  1.028683345978680E-014  1.028683345978685E-014  1.632864900209383E-014
  2.533418574316420E-014  2.344767627325169E-014  4.730128543216693E-014
  6.474868090195736E-014  2.358604737382395E-014  1.028683345978680E-014
  1.028683345978679E-014  1.028683345978682E-014  1.028683345978681E-014
  1.028683345978682E-014  1.028683345978682E-014  3.431534849430995E-014
  1.144074350424194E-014  6.271472141615967E-015  4.189304390604068E-015
  3.322615289386765E-015  2.690691642693032E-014  1.200489547886455E-013
  3.034295163965636E-014  1.018514417213330E-013  8.526775740321683E-014
  5.656245491962727E-014  7.108700582517357E-014  1.143590537079251E-013
  4.058820670884852E-014  9.297592692430449E-015  9.297592692430463E-015
  9.297592692430503E-015  9.297592692430465E-015  9.297592692430444E-015
  9.297592692430432E-015  9.297592692430455E-015  9.297592692430499E-015
  9.297592692430435E-015  9.297592692430485E-015  9.297592692430465E-015
  1.793360788839153E-014  3.135480880959797E-014  9.281084919440262E-014
  5.082709973907726E-014  2.056086341898099E-014  9.297592692430488E-015
  9.297592692430490E-015  9.297592692430518E-015  9.297592692430507E-015
  9.297592692430463E-015  1.799991669871564E-014  2.098824736956110E-015
  1.050457582851435E-015  8.723734709753031E-017  0.000000000000000E+000
  7.408449359132195E-015  1.728665008292504E-014  2.167383797178164E-014
  8.723734709753005E-015  1.097055416976291E-014  2.344633138976409E-014
  3.740417716340316E-014  1.045789087650787E-013  1.139418329740205E-014
  7.661185655748440E-014  8.723734709752963E-015  8.723734709753013E-015
  8.723734709753017E-015  8.723734709752974E-015  8.723734709753004E-015
  8.723734709753023E-015  8.723734709752976E-015  1.086899156839286E-014
  8.723734709752971E-015  8.723734709752979E-015  8.723734709753001E-015
  8.723734709752993E-015  1.713458428160072E-014  1.234228919774703E-013
