station,broad_leaf_forest,coniferous_forest,mixed_forest,ocean,other,grass_shrub,cropland,pasture,urban,unknown
MHD,2.226275356917201,6.0367391002784405,7.133450345494744,238.41022416882387,6.5388838690326585,17.542683708409154,18.50127555304939,33.37354906127972,4.18567048633123,0.0005017360522862899
MIL,84.3689345850251,37.27950052048561,54.15495096886967,123.71166472960667,18.838335715808427,22.709110859569613,197.76008128375997,54.46509974562312,186.0660976079534,0.002257894414755979
NOR100,8.723987912992921,104.62287532456486,31.73984637732411,122.70765716903917,13.166388900160806,16.247202954448134,50.171860028239415,11.517058071611903,8.383613262601907,0.0020769670323834716
OPE010,124.95980051039062,20.81480864949302,44.01265295707194,90.34238412715882,3.990331432200032,10.67702795530989,258.85979553870374,54.003940014685725,33.33592787850812,0.0005680084076309839
OPE120,45.71890632637451,20.606475937493556,34.82914437274167,90.8858076300908,3.5958014419495683,9.337755414009434,116.90651396887642,40.229307036141776,25.915589811801,0.0006084943686694308
OPO,18.179611515170624,12.653548154278626,60.82162372190794,293.22002982347567,2.70821247870054,16.084477031054945,37.317311305847134,25.29750495726115,36.25201953670228,0.00017140849864115737
OXK163,19.718482413800718,54.38961749135168,36.424256815832386,77.8815919275924,3.808559361623464,11.745632963262858,96.35533942747618,40.60811625610575,31.315061230300802,0.0005580738747544203
PAL,7.089468566627205,228.3947265966623,23.4846481123976,72.34944747236024,22.06840440595179,141.8317798828634,14.056608144887942,6.072868564513388,2.898133527165495,0.0024727665385942126
PAR,38.40419939815906,14.509209694832577,24.359145883201887,118.21232314892703,2.8409476921585197,7.612753190839468,156.83110084344113,30.44021911786103,73.67561289852769,0.0004801543919315238
PRA,21.770314504823393,54.95821012169519,43.68391469133023,75.47031000557682,4.108740353874953,14.002777226394201,170.5832651350473,41.38839420411546,52.692907117638875,0.0005672696415294992
PRS,16.80174449454173,20.191831975926476,21.74176163125707,70.06695042302438,20.149998916892134,9.359813444329639,37.75840698806992,44.12572157569085,13.300341817667775,0.0007566495467964869
PTL,48.957090509546134,28.2057178194257,39.65507630370589,204.167081721498,9.662140398885889,26.87465392809862,133.00413903434836,38.17704477358886,31.588120098105815,0.0010386925015587968
PUI,10.308713865340975,94.49714716460726,45.49948669077503,66.4248649098633,23.721537194016854,16.98201003795112,24.73650352093808,7.340843954615751,5.183459692354449,0.0018459092995207309
PUY,22.788400788703512,14.91673617436582,32.1650028751668,100.15456790145264,2.742946391463149,8.520824446083601,55.484085207286284,45.89902904724314,13.428784660097639,0.0006546073006636607
