lat,lon,country,facility,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2020_upd,2021_upd,diff 2020,diff 2021
"45,791667","5,3125",France,Bugey B,"172,2","157,64",168,"140,28","108,36","140,56","179,48","141,96","162,68","168,56","98,84","122,92","166,32","130,76","101,64","101,64","117,04","101,64","100,8",0,"-0,84"
"53,875","9,1875",Germany,Brunsbüttel,280,220,120,"3,4",14,"1,5","0,96","2,9",0,0,"2,3","5,1","7,6","1,4","4,4","3,5","3,5","4,4","3,5",0,0
"53,875","9,3125",Germany,Brokdorf,120,99,120,150,180,210,180,170,150,170,190,200,170,150,"86,8",130,130,"86,8",130,0,0
"51,458333","3,6875",Netherlands,Borssele,"32,2","39,76","34,16","43,68","46,2","49,56","44,24","45,64","30,24","35,84","42,28","43,96","33,32",35,"38,92","34,44","34,44","38,92","34,44",0,0
"48,458333","17,6875",Slovakia,Bohunice A+B,"63,7","62,1","47,4",403,"116,48","35,2","38,2","24,61","15,7",14,"15,9",17,"21,9","14,2","148,68","139,44","127,21","148,68","139,44",0,0
"45,291667","-0,6875",France,Blayais,"177,8","180,6","185,64","143,64","176,4","174,16","160,72","159,04","154,28",133,"162,12","154,28","219,52","211,4","282,8","282,8","227,64","282,8","296,8",0,14
"49,708333","8,4375",Germany,Biblis A+B,"70,5",112,38,94,37,50,"23,7","33,9","14,1","11,2","36,8",101,"104,9","23,1","4,256","3,5","3,5","4,256","3,5",0,0
"47,541667","8,1875",Switzerland,Beznau 1-2,57,35,26,130,74,42,32,20,36,24,18,18,13,36,26,10,10,26,10,0,0
"47,541667","2,8125",France,Belleville,"110,88","120,12","107,24","111,44","96,6","121,52","129,08","107,52","119,28","131,04","110,88","111,44","81,76","89,04","64,4","64,4","130,76","64,4","112,56",0,"48,16"
"41,208333","0,5625",Spain,Asco,"118,038181","467,6",121,"104,5","127,68","90,8",119,"74,6","74,6",117,163,156,121,219,"114,8","114,8","114,8","114,8","114,18",0,"-0,62"
"39,791667","-5,6875",Spain,Almaraz,"110,485162","8,372","39,76","70,84","75,88","63,3","57,6","47,8","85,9",56,"52,9","91,2","70,5","35,8","63,28","99,12","61,6","63,28","99,12",0,0
"50,708333","-2,3125",UK,Winfrith,"0,864","1,38","0,934","0,315","0,134","0,126","0,143","0,187","0,239","0,129","0,193","0,146","0,119","0,204","0,204","0,204","0,18","0,221","0,18","0,017","-0,024"
"52,958333","-3,9375",UK,Trawsfynydd,"2,96","2,74","2,13","2,27","3,76","1,82","0,56","0,7","0,97","0,7",1,"1,15","1,09","1,15","1,15","1,15","1,16","1,22","1,16","0,07","0,01"
"51,708333","0,9375",UK,Bradwell,"0,563","1,11","1,16","0,624","0,299","0,384","0,42","0,42","0,619","13,7","30,3","21,3","0,555","0,42",0,0,"0,42","0,42","0,42","0,42","0,42"
"51,625","-2,5625",UK,Oldbury,887,325,930,1440,1750,1320,263,"14,1","8,64","1,9","0,72","4,79","3,35","2,18","2,18","2,18","2,29","2,83","2,29","0,65","0,11"
"55,958333","-2,4375",UK,Torness,688,880,841,1070,826,993,1040,974,938,1280,1320,1130,1330,1360,1360,1360,1480,1450,1480,90,120
"52,208333","1,5625",UK,Sizewell A+B,"1537,32","192,6","139,64","96,26","46,68","88,76","97,62","69,29","73,93","71,18","65,51","63,48","61,082","73,152","73,152","73,152","349,646","390,805","349,646","317,653","276,494"
